n_features,clamp_value,rel_prob_with_clamping,mmlu_with_clamping
500,0,0.81640625,0.7000000000000001
500,-10,0.81640625,0.7300000000000001
500,-100,0.8046875,0.6599999999999999
750,0,0.5830078125,0.6500000000000001
750,-10,0.572265625,0.6500000000000001
750,-100,0.6953125,0.63
1000,0,0.578125,0.6300000000000001
1000,-10,0.5732421875,0.64
1000,-100,0.607421875,0.53
1500,0,0.5498046875,0.5499999999999999
1500,-10,0.5263671875,0.52
1500,-100,0.4326171875,0.5599999999999998
2000,0,0.64453125,0.58
2000,-10,0.634765625,0.5700000000000001
2000,-100,0.4365234375,0.41999999999999993
