index,modelId,layer,description,explanationModelName,typeName,bio_related
0,gemma-2-9b,15-gemmascope-res-16k,terms related to 3D imaging and display technologies,,oai_token-act-pair,
1,gemma-2-9b,15-gemmascope-res-16k, structured data elements or programming syntax,,oai_token-act-pair,
2,gemma-2-9b,15-gemmascope-res-16k, terms related to manufacturing processes and chemical reactions in industrial contexts,,oai_token-act-pair,
3,gemma-2-9b,15-gemmascope-res-16k,concepts related to race and social justice issues,,oai_token-act-pair,
4,gemma-2-9b,15-gemmascope-res-16k, phrases associated with themes of life and death,,oai_token-act-pair,
5,gemma-2-9b,15-gemmascope-res-16k, emotional expressions and gestures in interactions,,oai_token-act-pair,
6,gemma-2-9b,15-gemmascope-res-16k,biomedical acronyms and codes related to drug development and therapeutic areas,,oai_token-act-pair,
7,gemma-2-9b,15-gemmascope-res-16k, sequences of whitespace or empty tokens,,oai_token-act-pair,
8,gemma-2-9b,15-gemmascope-res-16k, references to programming and software libraries within code,,oai_token-act-pair,
9,gemma-2-9b,15-gemmascope-res-16k,direct speech and interactions among characters,,oai_token-act-pair,
10,gemma-2-9b,15-gemmascope-res-16k,references to legal and governmental processes regarding the legitimacy of parental rights and the death penalty,,oai_token-act-pair,
11,gemma-2-9b,15-gemmascope-res-16k,terms related to numerical results and data representations in scientific contexts,,oai_token-act-pair,
12,gemma-2-9b,15-gemmascope-res-16k," concepts related to social dynamics and the interplay between crime, society, and culture",,oai_token-act-pair,
13,gemma-2-9b,15-gemmascope-res-16k, expressions of disbelief or questioning about societal norms and perceptions,,oai_token-act-pair,
14,gemma-2-9b,15-gemmascope-res-16k,multiple mentions of reasons and factors related to various topics,,oai_token-act-pair,
15,gemma-2-9b,15-gemmascope-res-16k,names of rugby clubs and teams,,oai_token-act-pair,
16,gemma-2-9b,15-gemmascope-res-16k,references to religious themes and concepts,,oai_token-act-pair,
17,gemma-2-9b,15-gemmascope-res-16k,instances of strong opinions or critiques,,oai_token-act-pair,
18,gemma-2-9b,15-gemmascope-res-16k, elements related to HTTP headers and content types in web requests,,oai_token-act-pair,
19,gemma-2-9b,15-gemmascope-res-16k," references to legal and governmental terms, especially related to councils and court proceedings",,oai_token-act-pair,
20,gemma-2-9b,15-gemmascope-res-16k,terms related to probiotics and their effects on gut health,,oai_token-act-pair,
21,gemma-2-9b,15-gemmascope-res-16k,"code-related elements, particularly variable and method identifiers, as well as numerical IDs",,oai_token-act-pair,
22,gemma-2-9b,15-gemmascope-res-16k,"sentences that start with ""In"" or have ""The"" prominently featured",,oai_token-act-pair,
23,gemma-2-9b,15-gemmascope-res-16k, informal conversational phrases or expressions,,oai_token-act-pair,
24,gemma-2-9b,15-gemmascope-res-16k,references to numerical data and scientific notation,,oai_token-act-pair,
25,gemma-2-9b,15-gemmascope-res-16k, phrases related to time spent at home or engaging in outdoor activities,,oai_token-act-pair,
26,gemma-2-9b,15-gemmascope-res-16k,elements of humor and satire in text,,oai_token-act-pair,
27,gemma-2-9b,15-gemmascope-res-16k,important structural elements in academic or formal texts,,oai_token-act-pair,False
28,gemma-2-9b,15-gemmascope-res-16k, terms related to legal instructions and jury guidelines,,oai_token-act-pair,
29,gemma-2-9b,15-gemmascope-res-16k,"words or phrases that include the prefix ""un-.""",,oai_token-act-pair,
30,gemma-2-9b,15-gemmascope-res-16k,"instances of the word ""decided"" alongside actions or intentions related to plans or choices",,oai_token-act-pair,
31,gemma-2-9b,15-gemmascope-res-16k,HTML and XHTML structure and elements,,oai_token-act-pair,
32,gemma-2-9b,15-gemmascope-res-16k, expressions of social interaction or connection,,oai_token-act-pair,
33,gemma-2-9b,15-gemmascope-res-16k,terms related to dietary patterns and their effects on health,,oai_token-act-pair,
34,gemma-2-9b,15-gemmascope-res-16k,commands and terms related to file management and system operations in programming contexts,,oai_token-act-pair,
35,gemma-2-9b,15-gemmascope-res-16k,terms and phrases related to genetic advances and bioethics,,oai_token-act-pair,True
36,gemma-2-9b,15-gemmascope-res-16k, legal references and terminology related to court cases and judicial proceedings,,oai_token-act-pair,
37,gemma-2-9b,15-gemmascope-res-16k,specific product marketing terms or phrases,,oai_token-act-pair,
38,gemma-2-9b,15-gemmascope-res-16k, expressions of personal experience or emotions related to decision-making,,oai_token-act-pair,
39,gemma-2-9b,15-gemmascope-res-16k, incidents of protests and demonstrations,,oai_token-act-pair,
40,gemma-2-9b,15-gemmascope-res-16k,phrases related to privacy policies and data protection,,oai_token-act-pair,
41,gemma-2-9b,15-gemmascope-res-16k, phrases related to customer service and support,,oai_token-act-pair,
42,gemma-2-9b,15-gemmascope-res-16k,abbreviations and specific acronyms related to organizations or entities,,oai_token-act-pair,
43,gemma-2-9b,15-gemmascope-res-16k, terms related to scientific classification and properties of physical substances,,oai_token-act-pair,
44,gemma-2-9b,15-gemmascope-res-16k,references to music tracks and their attributes,,oai_token-act-pair,
45,gemma-2-9b,15-gemmascope-res-16k, HTML/XML tags and attributes related to constructors in programming contexts,,oai_token-act-pair,
46,gemma-2-9b,15-gemmascope-res-16k,references to technology and its impact on society,,oai_token-act-pair,
47,gemma-2-9b,15-gemmascope-res-16k," keywords related to programming, specifically in handling file paths and directories",,oai_token-act-pair,
48,gemma-2-9b,15-gemmascope-res-16k, programming and function-related syntax,,oai_token-act-pair,
49,gemma-2-9b,15-gemmascope-res-16k,specific technical terms and jargon related to various academic and scientific disciplines,,oai_token-act-pair,
50,gemma-2-9b,15-gemmascope-res-16k,references to figures and exposures in a scientific context,,oai_token-act-pair,
51,gemma-2-9b,15-gemmascope-res-16k,references to groups or collections of items or features,,oai_token-act-pair,
52,gemma-2-9b,15-gemmascope-res-16k,"terms related to biological and industrial structures, particularly focusing on cellular components and network protocols",,oai_token-act-pair,
