index,modelId,layer,description,explanationModelName,typeName,bio_related
0,gemma-2-9b,28-gemmascope-res-16k,questions and prompts related to processes or comparisons,,oai_token-act-pair,True
1,gemma-2-9b,28-gemmascope-res-16k, concepts related to significance and importance in various contexts,,oai_token-act-pair,False
2,gemma-2-9b,28-gemmascope-res-16k,information related to specific identifiers and measurements in scientific contexts,,oai_token-act-pair,
3,gemma-2-9b,28-gemmascope-res-16k,connections to family lineage and genealogy-related discussions,,oai_token-act-pair,
4,gemma-2-9b,28-gemmascope-res-16k,bracketed expressions or numbers,,oai_token-act-pair,
5,gemma-2-9b,28-gemmascope-res-16k, mentions of military terms and concepts,,oai_token-act-pair,
6,gemma-2-9b,28-gemmascope-res-16k," instances of the word ""on"" in various contexts",,oai_token-act-pair,
7,gemma-2-9b,28-gemmascope-res-16k,words related to intention and will,,oai_token-act-pair,
8,gemma-2-9b,28-gemmascope-res-16k, structured data or programming language syntax elements,,oai_token-act-pair,
9,gemma-2-9b,28-gemmascope-res-16k, expressions of gratitude,,oai_token-act-pair,
10,gemma-2-9b,28-gemmascope-res-16k, sections dedicated to specific topics or functions,,oai_token-act-pair,
11,gemma-2-9b,28-gemmascope-res-16k,legal terms and references related to lawsuits,,oai_token-act-pair,
12,gemma-2-9b,28-gemmascope-res-16k,terms related to research and analysis in the fields of biology and anthropology,,oai_token-act-pair,True
13,gemma-2-9b,28-gemmascope-res-16k, technical code elements and programming syntax,,oai_token-act-pair,False
14,gemma-2-9b,28-gemmascope-res-16k, terms related to tracking and managing data or entities in systems,,oai_token-act-pair,
15,gemma-2-9b,28-gemmascope-res-16k, references to historical facts and events,,oai_token-act-pair,
16,gemma-2-9b,28-gemmascope-res-16k, terms related to manufacturing or industrial processes,,oai_token-act-pair,
17,gemma-2-9b,28-gemmascope-res-16k, references to hardware and software components,,oai_token-act-pair,
18,gemma-2-9b,28-gemmascope-res-16k,terms related to data analysis and machine learning techniques,,oai_token-act-pair,False
19,gemma-2-9b,28-gemmascope-res-16k,terms and phrases related to diplomacy and international relations,,oai_token-act-pair,
20,gemma-2-9b,28-gemmascope-res-16k,symbols and special characters used in programming syntax,,oai_token-act-pair,
21,gemma-2-9b,28-gemmascope-res-16k, references to bags and purses,,oai_token-act-pair,False
22,gemma-2-9b,28-gemmascope-res-16k, line breaks and formatting symbols indicative of code or structured data,,oai_token-act-pair,
23,gemma-2-9b,28-gemmascope-res-16k, structured technical descriptions of inventions,,oai_token-act-pair,
24,gemma-2-9b,28-gemmascope-res-16k,names of individuals and places in a narrative context,,oai_token-act-pair,False
25,gemma-2-9b,28-gemmascope-res-16k, phrases indicating temporal relationships,,oai_token-act-pair,
26,gemma-2-9b,28-gemmascope-res-16k,"references to ""the"" in various contexts",,oai_token-act-pair,
27,gemma-2-9b,28-gemmascope-res-16k," comparisons between different concepts or entities, particularly in terms of quality and effectiveness",,oai_token-act-pair,False
28,gemma-2-9b,28-gemmascope-res-16k," programming-related identifiers and terms in code, particularly focusing on class names, method names, and parameters",,oai_token-act-pair,
29,gemma-2-9b,28-gemmascope-res-16k, phrases related to production and executive roles in entertainment,,oai_token-act-pair,
30,gemma-2-9b,28-gemmascope-res-16k," programming-related terms indicating functions, variables, and objects",,oai_token-act-pair,
31,gemma-2-9b,28-gemmascope-res-16k, numerical and statistical data within a research context,,oai_token-act-pair,False
32,gemma-2-9b,28-gemmascope-res-16k," occurrences of the name ""Nag"" and its variations",,oai_token-act-pair,
33,gemma-2-9b,28-gemmascope-res-16k,technical descriptions related to electronic and semiconductor devices,,oai_token-act-pair,
34,gemma-2-9b,28-gemmascope-res-16k, concepts related to freedom and individual rights,,oai_token-act-pair,
35,gemma-2-9b,28-gemmascope-res-16k, references to chores and responsibilities associated with home and family life,,oai_token-act-pair,
36,gemma-2-9b,28-gemmascope-res-16k, discussion about timing and missed opportunities,,oai_token-act-pair,
37,gemma-2-9b,28-gemmascope-res-16k, citations and references in academic papers,,oai_token-act-pair,
38,gemma-2-9b,28-gemmascope-res-16k,questions or prompts requiring detailed responses,,oai_token-act-pair,
39,gemma-2-9b,28-gemmascope-res-16k,legal terminology and concepts related to court proceedings,,oai_token-act-pair,False
40,gemma-2-9b,28-gemmascope-res-16k,phrases related to online platforms or services that involve user interactions and settings,,oai_token-act-pair,False
41,gemma-2-9b,28-gemmascope-res-16k, time indicators related to events or postings,,oai_token-act-pair,
42,gemma-2-9b,28-gemmascope-res-16k,"instances and references to maps, particularly in programming and data contexts",,oai_token-act-pair,
43,gemma-2-9b,28-gemmascope-res-16k, specific sports statistics and achievements,,oai_token-act-pair,
44,gemma-2-9b,28-gemmascope-res-16k,contextual references to various actions or elements related to daily living and community service,,oai_token-act-pair,
45,gemma-2-9b,28-gemmascope-res-16k, expressions related to criticism and performance evaluation in sports,,oai_token-act-pair,
46,gemma-2-9b,28-gemmascope-res-16k, patterns or elements representing data structure and organization,,oai_token-act-pair,
47,gemma-2-9b,28-gemmascope-res-16k,elements related to programming syntax and structure,,oai_token-act-pair,
48,gemma-2-9b,28-gemmascope-res-16k,medical conditions or contraindications related to health,,oai_token-act-pair,
